UF,PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon
GO,861958/2024,3D MINERALS LTDA,TERRAS RARAS,REQUERIMENTO DE PESQUISA,1615.66,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 17/12/2024,-13.2762,-46.9557
GO,861954/2024,3D MINERALS LTDA,TERRAS RARAS,REQUERIMENTO DE PESQUISA,267.0,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 14/12/2024,-13.5964,-47.0867
GO,861959/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1931.46,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 03/07/2026,-14.8819,-49.7561
GO,861960/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1527.95,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/07/2026,-14.8764,-49.5877
GO,861950/2024,3D MINERALS LTDA,OURO,AUTORIZAÇÃO DE PESQUISA,961.29,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 02/07/2026,-14.4447,-50.0854
GO,861949/2024,3D MINERALS LTDA,MINÉRIO DE NIÓBIO,AUTORIZAÇÃO DE PESQUISA,1569.32,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 03/07/2026,-15.8205,-51.6973
GO,861958/2024,3D MINERALS LTDA,TERRAS RARAS,REQUERIMENTO DE PESQUISA,0.01,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 17/12/2024,-13.3064,-46.9389
GO,861953/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,99.68,136 - REQ PESQ/DOCUMENTO DIVERSO PROTOC EM 23/09/2025,-14.9834,-49.6947
GO,861952/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,141.48,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 14/12/2024,-14.9889,-49.733
GO,861958/2024,3D MINERALS LTDA,TERRAS RARAS,REQUERIMENTO DE PESQUISA,0.06,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 17/12/2024,-13.3064,-46.9433
GO,860705/2025,3D MINERALS LTDA,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,1426.42,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 22/08/2025,-14.5339,-50.0901
BA,872050/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,467.22,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-13.8952,-42.055
BA,872061/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1927.53,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/01/2026,-9.5181,-43.4106
BA,872036/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1007.87,2803 - AUT PESQ/EXIGÊNCIA PRAZO OFÍCIO PUBL EM 30/03/2026,-14.5648,-41.8826
BA,872095/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1959.47,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-9.7358,-42.9489
BA,872065/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1950.94,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-9.6076,-43.368
BA,872055/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,622.21,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-9.5865,-39.9463
BA,872037/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,469.54,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-13.8649,-41.8566
BA,872034/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1395.93,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-14.7736,-40.2344
BA,872057/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1023.69,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-9.9391,-40.0221
BA,872094/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,674.75,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-13.0871,-42.178
