dist_km,NOME,SUBS,FASE,AREA_HA,PROCESSO,lat,lon
9.3,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,252.85,832514/2024,-20.3941,-43.7151
9.3,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,28.65,831627/2025,-20.3946,-43.7157
9.4,Alaska Comercial de Minérios Ltda,CALCÁRIO,REQUERIMENTO DE PESQUISA,3.3,833609/2014,-20.4391,-43.7178
9.5,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1.37,832377/2014,-20.4426,-43.7185
9.5,GUILHERME FIGUEIREDO DE ANDRADE URBANO,MINÉRIO DE MANGANÊS,REQUERIMENTO DE PESQUISA,506.62,831867/2022,-20.3935,-43.7164
9.6,Mineração Fazenda Saramenha Ltda,TOPÁZIO,REQUERIMENTO DE LAVRA,87.96,830354/2016,-20.4098,-43.7219
9.6,Edilson Corrêa Mariani,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,211.98,831547/2009,-20.4759,-43.5599
9.8,PAULO ROBERTO GONCALVES,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,123.89,830528/2024,-20.4625,-43.5472
10.0,VERMELHAO MINERACAO INDUSTRIA E COMERCIO LTDA,TOPÁZIO,CONCESSÃO DE LAVRA,158.22,1193/1936,-20.4045,-43.5355
10.0,José Francisco Pereira da Silva de Pádua,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,1.71,830929/2009,-20.3596,-43.5581
10.1,F.M. DE ASSIS SILVA - EXTRACAO E COMERCIO DE MINERIOS LTDA,QUARTZO,REQUERIMENTO DE LAVRA,628.19,832240/1987,-20.4071,-43.7259
10.1,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,1.73,803394/1976,-20.4438,-43.7235
10.3,JJC MINERACAO INDUSTRIA E COMERCIO LIMITADA,TOPÁZIO,CONCESSÃO DE LAVRA,136.38,119301/1936,-20.4091,-43.5316
10.4,LEONARDO TAVARES DE OLIVEIRA,OURO,AUTORIZAÇÃO DE PESQUISA,40.92,830968/2023,-20.4149,-43.5303
10.5,WOX MINERACAO LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1084.66,833590/2004,-20.371,-43.5436
10.6,Smartway Brasil Minério de Ferro Ltda.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,15.39,832374/2014,-20.4113,-43.7319
10.8,VERMELHAO MINERACAO INDUSTRIA E COMERCIO LTDA,TOPÁZIO,CONCESSÃO DE LAVRA,43.63,816955/1971,-20.402,-43.5279
10.8,COLUNA PERÓLA MINERAÇÃO LTDA - ME,MÁRMORE,REQUERIMENTO DE LAVRA,253.57,831177/1984,-20.4093,-43.7336
10.8,Caystar Exploraçao Mineral (brasil) Ltda,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1977.37,831217/2006,-20.3252,-43.608
